Item.[Item],Item.[Item$DisplayName],Item.[Is New Item],Item.[Item Disc Date],Item.[Item Intro Date],Item.[Item Status],Item.[Reporting Item],Item.[Reporting Item$DisplayName],Item.[Segmentation LOB],Item.[Segmentation LOB$DisplayName],Item.[PackageType],Item.[Pack Size],Item.[FN Item],Item.[L1],Item.[L1$DisplayName],Item.[L2],Item.[L2$DisplayName],Item.[L3],Item.[L3$DisplayName],Item.[L4],Item.[L4$DisplayName],Item.[L5],Item.[L5$DisplayName],Item.[L6],Item.[L6$DisplayName],Item.[Planning Item],Item.[Planning Item Locale],Item.[Planning Item Disc Date],Item.[Planning Item Intro Date],Item.[Planning Item$DisplayName],Item.[Transition Item],Item.[Transition Item$DisplayName],Item.[Segmentation Category],Item.[A1],Item.[A1$DisplayName],Item.[A2],Item.[A3],Item.[A3$DisplayName],Item.[A4],Item.[A4$DisplayName],Item.[A5],Item.[PLC Status],Item.[RGM7],Item.[RGM6],Item.[RGM5],Item.[RGM4],Item.[RGM3],Item.[RGM2],Item.[RGM1],Item.[Item Type],Item.[Unit Size],Item.[All Item],Item.[PPG],Item.[Stat Item],Item.[Stat Item$DisplayName],Item.[Stat Item Group],Item.[Stat Item Group$DisplayName],Item.[ContainerType],Item.[Item Class],Item.[Item Stage],Item.[EAN ID],Item.[Transition Group]
A010_10_01,iPad_Air_512GB,,1/1/2029 0:00,1/1/2018 0:00,,A010_10_01,iPad_Air_512GB,D10,Portable_Device,Can 330 ML,330 ML,,A010,iPad_Air,B100,iPad,C10,Tablet,D10,Portable_Device,E10,Technology,F10,FnB,A010_10,en-US,3/12/2029 0:00,10/1/2018 0:00,Wiser Light_Can,A010_10,Wiser Light_Can,C,0.03,3%,N/A,0,0%,80,80 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A010,Wiser Light,D10,Alcohol,CAN,BY,Dummy,,All Items
A010_10_02,iPad_Pro_512GB,,3/12/2029 0:00,10/1/2018 0:00,,A010_10_02,iPad_Pro_512GB,D10,Portable_Device,Can 500 ML,500 ML,,A010,iPad_Pro,B100,iPad,C10,Tablet,D10,Portable_Device,E10,Technology,F10,FnB,A010_10,en-US,3/12/2029 0:00,10/1/2018 0:00,Wiser Light_Can,A010_10,Wiser Light_Can,C,0.75,75%,N/A,0,0%,120,120 cal,500 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A010,Wiser Light,D10,Alcohol,CAN,BY,Dummy,,All Items
A010_20_01,MacBook_Air_512GB,,11/7/2029 0:00,8/1/2018 0:00,,A010_20_01,MacBook_Air_512GB,D10,Portable_Device,Bottle 330 ML,330 ML,,A010,MacBook_Air,B100,MacBook,C10,Laptop,D10,Portable_Device,E10,Technology,F10,FnB,A010_20,en-US,9/13/2029 0:00,7/1/2018 0:00,Wiser Light_Bottle,A010_20,Wiser Light_Bottle,C,0.85,85%,N/A,0,0%,80,80 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A010,Wiser Light,D10,Alcohol,BOTTLE,BY,Dummy,,All Items
A010_20_02,MacBook_Pro_512GB,,9/13/2029 0:00,7/1/2018 0:00,,A010_20_02,MacBook_Pro_512GB,D10,Portable_Device,Bottle 500 ML,500 ML,,A010,MacBook_Pro,B100,MacBook,C10,Laptop,D10,Portable_Device,E10,Technology,F10,FnB,A010_20,en-US,9/13/2029 0:00,7/1/2018 0:00,Wiser Light_Bottle,A010_20,Wiser Light_Bottle,C,0.4,40%,N/A,0,0%,120,120 cal,500 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A010,Wiser Light,D10,Alcohol,BOTTLE,BY,Dummy,,All Items
A020_10_01,Wiser Strong_Can_330,,7/30/2029 0:00,1/1/2019 0:00,,A020_10_01,Wiser Strong_Can_330,D10,Alcohol,Can 330 ML,330 ML,,A020,Wiser Strong,B100,Wiser,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A020_10,en-US,7/23/2029 0:00,5/1/2018 0:00,Wiser Strong_Can,A020_10,Wiser Strong_Can,B,0.88,88%,N/A,0,0%,200,200 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A020,Wiser Strong,D10,Alcohol,CAN,BY,Dummy,,All Items
A020_10_02,Wiser Strong_Can_500,,7/23/2029 0:00,5/1/2018 0:00,,A020_10_02,Wiser Strong_Can_500,D10,Alcohol,Can 500 ML,500 ML,,A020,Wiser Strong,B100,Wiser,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A020_10,en-US,7/23/2029 0:00,5/1/2018 0:00,Wiser Strong_Can,A020_10,Wiser Strong_Can,A,0.34,34%,N/A,0,0%,250,250 cal,500 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A020,Wiser Strong,D10,Alcohol,CAN,BY,Dummy,,All Items
A030_20_01,Falstaff Light_Bottle_330,,9/7/2029 0:00,5/1/2018 0:00,,A030_20_01,Falstaff Light_Bottle_330,D10,Alcohol,Bottle 330 ML,330 ML,,A030,Falstaff Light,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A030_20,en-US,9/7/2029 0:00,5/1/2018 0:00,Falstaff Light_Bottle,A030_20,Falstaff Light_Bottle,C,0.55,55%,N/A,0,0%,100,100 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A030,Falstaff Light,D10,Alcohol,BOTTLE,BY,Dummy,,All Items
A040_20_02,Falstaff Strong_Bottle_500,,10/8/2029 0:00,4/1/2019 0:00,,A040_20_02,Falstaff Strong_Bottle_500,D10,Alcohol,Bottle 500 ML,500 ML,,A040,Falstaff Strong,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A040_20,en-US,10/8/2029 0:00,4/1/2019 0:00,Falstaff Strong_Bottle,A040_20,Falstaff Strong_Bottle,C,0.44,44%,N/A,0,0%,230,230 cal,500 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A040,Falstaff Strong,D10,Alcohol,BOTTLE,AY,Dummy,,All Items
A050_10_01,Falstaff Tropical Grapefruit_Can_330,,10/17/2029 0:00,6/15/2023 0:00,,A050_10_01,Falstaff Tropical Grapefruit_Can_330,D10,Alcohol,Can 330 ML,330 ML,,A050,Falstaff Tropical Grapefruit,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A050_10,en-US,10/17/2029 0:00,6/15/2023 0:00,Falstaff Tropical Grapefruit_Can,A050_10,Falstaff Tropical Grapefruit_Can,C,0.9,90%,N/A,0,0%,130,130 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A050,Falstaff Tropical Grapefruit,D10,Alcohol,CAN,AY,Dummy,,All Items
A060_10_02,Falstaff Tropical Mix_Can_500,,4/26/2029 0:00,1/1/2020 0:00,,A060_10_02,Falstaff Tropical Mix_Can_500,D10,Alcohol,Can 500 ML,500 ML,,A060,Falstaff Tropical Mix,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A060_10,en-US,1/16/2025 0:00,11/21/2024 0:00,Test Item,Test Item,Test Item,C,0.32,32%,N/A,0,0%,200,200 cal,500 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A060,Falstaff Tropical Mix,D10,Alcohol,CAN,AY,Dummy,,All Items
